"Time (min)"	"Temperature (°C)"	"Weight (mg)"
.001222222	23.80192	20.27698
.004166667	23.82828	20.27713
0.01250000	23.85306	20.27724
0.02083334	23.87264	20.27738
0.02916666	23.89788	20.27749
0.03750000	23.92320	20.27760
0.04583334	23.94572	20.27776
0.05416668	23.96389	20.27786
0.06250000	23.98754	20.27796
0.07083332	24.01299	20.27804
0.07916666	24.03293	20.27801
0.08750000	24.06098	20.27800
0.09583332	24.07814	20.27801
0.1041666	24.10615	20.27800
0.1125000	24.12366	20.27800
0.1208333	24.14851	20.27799
0.1291666	24.16792	20.27796
0.1375000	24.19182	20.27796
0.1458333	24.20924	20.27796
0.1541667	24.23383	20.27794
0.1625000	24.25752	20.27797
0.1708334	24.28094	20.27800
0.1791666	24.30314	20.27802
0.1875000	24.32092	20.27801
0.1958334	24.34027	20.27801
0.2041667	24.36453	20.27805
0.2125000	24.38675	20.27808
0.2208333	24.40826	20.27808
0.2291667	24.42832	20.27808
0.2375000	24.44865	20.27809
0.2458334	24.47054	20.27805
0.2541666	24.49184	20.27800
0.2625000	24.51514	20.27796
0.2708334	24.53864	20.27791
0.2791667	24.55602	20.27788
0.2875000	24.57958	20.27780
0.2958333	24.59949	20.27772
0.3041667	24.62291	20.27768
0.3125000	24.64821	20.27759
0.3208333	24.67017	20.27751
0.3291667	24.69115	20.27747
0.3375000	24.71766	20.27742
0.3458333	24.74052	20.27737
0.3541666	24.76204	20.27734
0.3625000	24.78994	20.27728
0.3708334	24.81694	20.27723
0.3791666	24.84149	20.27721
0.3875000	24.86405	20.27716
0.3958334	24.88580	20.27712
0.4041666	24.91316	20.27710
0.4125000	24.94310	20.27710
0.4208333	24.96987	20.27712
0.4291667	24.99558	20.27714
0.4375000	25.02366	20.27715
0.4458333	25.04887	20.27716
0.4541667	25.07936	20.27718
0.4625000	25.10904	20.27718
0.4708334	25.13633	20.27720
0.4791666	25.16560	20.27722
0.4875000	25.19908	20.27722
0.4958334	25.22848	20.27720
0.5041666	25.25707	20.27719
0.5125000	25.28843	20.27718
0.5208332	25.32100	20.27712
0.5291666	25.35475	20.27710
0.5375000	25.38640	20.27711
0.5458334	25.42053	20.27710
0.5541668	25.45242	20.27706
0.5625000	25.48895	20.27703
0.5708332	25.52436	20.27700
0.5791666	25.55766	20.27696
0.5875000	25.59000	20.27690
0.5958334	25.63108	20.27684
0.6041668	25.66645	20.27680
0.6125000	25.70577	20.27674
0.6208334	25.74292	20.27664
0.6291666	25.77888	20.27654
0.6375000	25.81706	20.27646
0.6458332	25.85574	20.27641
0.6541666	25.90016	20.27639
0.6625000	25.93692	20.27636
0.6708334	25.97957	20.27631
0.6791668	26.01784	20.27625
0.6875000	26.05981	20.27618
0.6958332	26.10252	20.27611
0.7041666	26.15237	20.27608
0.7125000	26.19213	20.27604
0.7208334	26.23552	20.27601
0.7291668	26.28104	20.27594
0.7375000	26.32612	20.27582
0.7458334	26.36910	20.27575
0.7541666	26.41658	20.27575
0.7625000	26.46303	20.27572
0.7708332	26.51428	20.27568
0.7791666	26.56295	20.27566
0.7875000	26.61130	20.27562
0.7958334	26.66014	20.27559
0.8041668	26.71032	20.27558
0.8125000	26.75712	20.27555
0.8208332	26.81056	20.27554
0.8291666	26.86142	20.27550
0.8375000	26.91094	20.27539
0.8458334	26.96692	20.27535
0.8541668	27.02025	20.27533
0.8625000	27.07334	20.27530
0.8708332	27.12782	20.27528
0.8791668	27.17810	20.27523
0.8875000	27.23380	20.27518
0.8958332	27.29146	20.27514
0.9041666	27.35065	20.27510
0.9125000	27.40444	20.27505
0.9208334	27.46220	20.27499
0.9291668	27.52382	20.27491
0.9375000	27.57757	20.27481
0.9458332	27.63475	20.27474
