"Time (min)"	"Temperature (°C)"	"Weight (mg)"
7.77778E-4	26.06810	20.73122
.004166667	26.09367	20.73125
0.01250000	26.11592	20.73130
0.02083334	26.12412	20.73133
0.02916666	26.14180	20.73134
0.03750000	26.16040	20.73138
0.04583334	26.17752	20.73146
0.05416668	26.19519	20.73152
0.06250000	26.21383	20.73153
0.07083332	26.23364	20.73148
0.07916666	26.24614	20.73138
0.08750000	26.26545	20.73127
0.09583332	26.28678	20.73120
0.1041666	26.30735	20.73113
0.1125000	26.33544	20.73106
0.1208333	26.35396	20.73097
0.1291666	26.37144	20.73083
0.1375000	26.39527	20.73071
0.1458333	26.41432	20.73062
0.1541667	26.43440	20.73054
0.1625000	26.45113	20.73048
0.1708334	26.45590	20.73042
0.1791666	26.47871	20.73030
0.1875000	26.50244	20.73025
0.1958334	26.52487	20.73021
0.2041667	26.55896	20.73013
0.2125000	26.58538	20.73003
0.2208333	26.61086	20.72993
0.2291667	26.63840	20.72980
0.2375000	26.65710	20.72969
0.2458334	26.67345	20.72962
0.2541666	26.69962	20.72954
0.2625000	26.73166	20.72942
0.2708334	26.76083	20.72925
0.2791667	26.79651	20.72909
0.2875000	26.83670	20.72896
0.2958333	26.85174	20.72887
0.3041667	26.88592	20.72880
0.3125000	26.92242	20.72870
0.3208333	26.95979	20.72856
0.3291667	26.99350	20.72841
0.3375000	27.03045	20.72826
0.3458333	27.06486	20.72816
0.3541666	27.10786	20.72808
0.3625000	27.14813	20.72798
0.3708334	27.18967	20.72788
0.3791666	27.23076	20.72774
0.3875000	27.28004	20.72758
0.3958334	27.32274	20.72746
0.4041666	27.36622	20.72736
0.4125000	27.41640	20.72722
0.4208333	27.46836	20.72708
0.4291667	27.51396	20.72696
0.4375000	27.56581	20.72680
0.4458333	27.61954	20.72666
0.4541667	27.67210	20.72654
0.4625000	27.72864	20.72641
0.4708334	27.78534	20.72630
0.4791666	27.84274	20.72617
0.4875000	27.90356	20.72604
0.4958334	27.96339	20.72592
0.5041666	28.02560	20.72577
0.5125000	28.08584	20.72561
0.5208332	28.14754	20.72547
0.5291666	28.21737	20.72529
0.5375000	28.28188	20.72511
0.5458334	28.35402	20.72496
0.5541668	28.42179	20.72482
0.5625000	28.49156	20.72467
0.5708332	28.56472	20.72446
0.5791666	28.64010	20.72423
0.5875000	28.71210	20.72405
0.5958334	28.79118	20.72388
0.6041668	28.86598	20.72373
0.6125000	28.94541	20.72360
0.6208334	29.02422	20.72348
0.6291666	29.10812	20.72334
0.6375000	29.18795	20.72316
0.6458332	29.27869	20.72298
0.6541666	29.36190	20.72286
0.6625000	29.45056	20.72276
0.6708334	29.54318	20.72266
0.6791668	29.62790	20.72258
0.6875000	29.72252	20.72246
0.6958332	29.81724	20.72233
0.7041666	29.91270	20.72218
0.7125000	30.01294	20.72198
0.7208334	30.10430	20.72181
0.7291668	30.20230	20.72164
0.7375000	30.29999	20.72145
0.7458334	30.40986	20.72126
0.7541666	30.52164	20.72105
0.7625000	30.62548	20.72083
0.7708332	30.72718	20.72062
0.7791666	30.83726	20.72043
0.7875000	30.94550	20.72024
0.7958334	31.05400	20.72013
0.8041668	31.16511	20.72003
0.8125000	31.27711	20.71991
0.8208332	31.39115	20.71980
0.8291666	31.50768	20.71969
0.8375000	31.62278	20.71960
0.8458334	31.72911	20.71948
0.8541668	31.84664	20.71934
0.8625000	31.96181	20.71919
0.8708332	32.08361	20.71901
0.8791668	32.20540	20.71880
0.8875000	32.33020	20.71856
0.8958332	32.45123	20.71836
0.9041666	32.58062	20.71816
0.9125000	32.70900	20.71794
0.9208334	32.83469	20.71770
0.9291668	32.96740	20.71747
0.9375000	33.09222	20.71728
0.9458332	33.22711	20.71709
0.9541666	33.36239	20.71690
0.9625000	33.49553	20.71676
0.9708334	33.63114	20.71660
0.9791668	33.76582	20.71639
0.9875000	33.90103	20.71624
0.9958332	34.04545	20.71609
1.004167	34.18675	20.71593
1.012500	34.32746	20.71578
1.020833	34.46776	20.71564
1.029167	34.61457	20.71546
1.037500	34.75512	20.71527
1.045834	34.90367	20.71509
1.054167	35.04507	20.71494
1.062500	35.19178	20.71482
1.070833	35.34275	20.71467
1.079166	35.49225	20.71450
1.087500	35.64210	20.71436
1.095833	35.80112	20.71423
1.104166	35.95535	20.71408
1.112500	36.09740	20.71389
1.120833	36.26661	20.71370
1.129167	36.42236	20.71352
1.137500	36.58166	20.71334
1.145834	36.73481	20.71312
1.154167	36.89098	20.71289
1.162500	37.05154	20.71264
1.170834	37.21113	20.71236
1.179167	37.37570	20.71211
1.187500	37.53424	20.71194
