Time (min)	Temperature (C)	Weight (mg)
8.33E-04	20.22521	10.57661
0.008333334	20.22247	10.57663
0.025	20.22029	10.57662
0.0375	20.21857	10.57669
0.05	20.22182	10.57664
0.0625	20.22184	10.57673
0.075	20.21823	10.57672
0.09166668	20.21627	10.57679
0.1041666	20.21602	10.57684
0.1166666	20.21419	10.57682
0.1291666	20.21578	10.57687
0.1416666	20.21431	10.57686
0.1583333	20.21231	10.57692
0.1708334	20.21237	10.57688
0.1833334	20.21483	10.57691
0.1958334	20.21111	10.57697
0.2083334	20.21379	10.57697
0.225	20.21628	10.57699
0.2375	20.21695	10.57696
0.25	20.22121	10.57699
0.2625	20.21846	10.57694
0.275	20.22663	10.57693
0.2875	20.22649	10.57694
0.3	20.23266	10.57689
0.3166666	20.23473	10.57687
0.3291667	20.23908	10.57682
0.3416667	20.24175	10.57683
0.3541666	20.24914	10.57681
0.3666667	20.25502	10.57675
0.3833333	20.25952	10.57671
0.3958334	20.26524	10.57669
0.4083334	20.27046	10.57668
0.4208333	20.27975	10.57663
0.4333334	20.28326	10.57658
0.45	20.29249	10.57648
0.4625	20.30391	10.57648
0.475	20.3108	10.57652
0.4875	20.32186	10.57649
0.5	20.32605	10.57652
0.5125	20.33572	10.57656
0.525	20.34538	10.57664
0.5416668	20.36357	10.57668
0.5541668	20.37567	10.57668
0.5666666	20.38192	10.57669
0.5791666	20.39844	10.57666
0.5916668	20.40834	10.57667
0.6083334	20.42233	10.57664
0.6208334	20.43974	10.57664
0.6333332	20.45266	10.57659
0.6458332	20.46782	10.57657
0.6583332	20.4769	10.5766
0.675	20.49953	10.57665
0.6875	20.5115	10.57666
0.7	20.5315	10.57664
0.7125	20.54973	10.57668
0.725	20.5626	10.57668
0.7416668	20.58608	10.57666
0.7541666	20.60441	10.57661
0.7666666	20.62002	10.57657
0.7791666	20.64337	10.57658
0.7916668	20.6575	10.57656
0.8041668	20.67695	10.57654
0.8166668	20.69814	10.57651
0.8333332	20.72159	10.57648
0.8458334	20.74234	10.57648
0.8583334	20.7654	10.57644
0.8708332	20.78441	10.57646
0.8833332	20.80363	10.57644
0.9	20.83329	10.5764
0.9125	20.8573	10.57638
0.925	20.87588	10.57634
0.9375	20.89871	10.57633
0.95	20.92039	10.57628
0.9666668	20.95348	10.57632
0.9791668	20.98137	10.57633
0.9916668	21.00614	10.57628
1.004167	21.02518	10.57622
1.016667	21.05206	10.57615
1.029167	21.0783	10.57614
1.041667	21.10168	10.57607
1.058334	21.14259	10.57604
1.070833	21.16542	10.57608
1.083333	21.19055	10.57617
1.095833	21.21516	10.57626
1.108334	21.24304	10.5763
1.125	21.28319	10.57633
1.1375	21.31025	10.57633
1.15	21.33516	10.5763
1.1625	21.3647	10.57627
1.175	21.39404	10.57628
1.191666	21.42908	10.57626
1.204166	21.46058	10.57624
1.216667	21.48842	10.57625
1.229166	21.51694	10.57624
1.241666	21.54576	10.57626
1.258334	21.58478	10.57622
1.270834	21.6137	10.57625
1.283333	21.64458	10.57627
1.295834	21.67421	10.57628
1.308334	21.70449	10.57633
1.320833	21.7355	10.5763
1.333333	21.76703	10.57631
1.35	21.81098	10.57632
1.3625	21.84131	10.57629
1.375	21.87237	10.57629
1.3875	21.90111	10.57626
1.4	21.93581	10.57631
1.416667	21.97852	10.57632
1.429167	22.00959	10.57631
1.441666	22.04388	10.57629
1.454166	22.07608	10.57632
1.466667	22.10658	10.57632
1.483334	22.1488	10.5763
1.495833	22.18074	10.5763
1.508334	22.21595	10.57627
1.520834	22.24492	10.57631
1.533333	22.28099	10.57632
1.545834	22.3173	10.5763
1.558334	22.35381	10.5763
1.575	22.40974	10.5763
1.5875	22.44033	10.5763
1.6	22.47854	10.57626
1.6125	22.50602	10.57619
1.625	22.54316	10.57616
1.641666	22.58764	10.57613
1.654167	22.6036	10.57612
1.666667	22.63661	10.57616
1.679166	22.67674	10.57622
1.691666	22.70637	10.57628
1.708333	22.75041	10.57634
1.720833	22.78539	10.57634
1.733334	22.8199	10.57633
1.745833	22.8466	10.5763
1.758334	22.88423	10.57622
1.775	22.9389	10.57619
1.7875	22.97426	10.5762
1.8	23.0137	10.57622
1.8125	23.04919	10.57624
1.825	23.07282	10.57626
1.8375	23.09847	10.57631
1.85	23.13542	10.57633
1.866666	23.17447	10.5763
1.879167	23.21306	10.5763
1.891666	23.24365	10.57631
1.904167	23.27796	10.57628
1.916667	23.31444	10.57624
1.933334	23.35874	10.57619
1.945834	23.39351	10.57622
1.958333	23.42662	10.57621
1.970833	23.47456	10.57617
1.983334	23.5057	10.5762
2	23.53717	10.5763
2.0125	23.57044	10.57637
2.025	23.6072	10.57637
2.0375	23.63614	10.57636
2.05	23.67412	10.57637
2.0625	23.70742	10.57639
2.075	23.73773	10.57639
2.091667	23.78044	10.57637
2.104167	23.8135	10.57635
2.116667	23.84922	10.57633
2.129166	23.8863	10.57633
2.141666	23.9136	10.57629
2.158333	23.96143	10.57627
2.170834	23.9889	10.57628
2.183334	24.02447	10.57622
2.195834	24.05905	10.57622
2.208334	24.08918	10.57623
2.225	24.13152	10.57623
2.2375	24.16603	10.57619
2.25	24.1965	10.57624
2.2625	24.22834	10.57629
2.275	24.26082	10.57627
2.291666	24.30771	10.5763
2.304166	24.337	10.57632
2.316666	24.37333	10.57635
2.329166	24.40356	10.57628
2.341667	24.43627	10.57634
2.354167	24.46918	10.57638
2.366667	24.49916	10.57641
2.383333	24.53966	10.57641
2.395833	24.57423	10.57639
2.408333	24.60617	10.57643
2.420834	24.63733	10.57642
2.433334	24.66782	10.57642
2.45	24.70965	10.5764
2.4625	24.7365	10.57638
2.475	24.7722	10.5764
2.4875	24.80919	10.57643
2.5	24.83253	10.57642
2.516666	24.875	10.57638
2.529167	24.9058	10.5763
2.541666	24.939	10.5763
2.554166	24.96617	10.57629
2.566666	24.9994	10.57632
2.579166	25.03022	10.57631
2.591667	25.05898	10.57629
2.608334	25.09914	10.57633
2.620834	25.12962	10.57634
2.633333	25.15944	10.57628
2.645833	25.1932	10.57613
2.658333	25.22071	10.57618
2.675	25.2616	10.5762
2.6875	25.28602	10.57623
2.7	25.3212	10.57628
2.7125	25.34663	10.57637
2.725	25.37854	10.57648
2.741667	25.42067	10.57652
2.754166	25.45248	10.57647
2.766666	25.48975	10.57648
2.779167	25.52318	10.57649
2.791666	25.55704	10.57649
2.808334	25.5943	10.57657
2.820834	25.61936	10.57663
2.833334	25.63562	10.57673
2.845833	25.66051	10.57681
2.858334	25.69467	10.57687
2.870834	25.72561	10.57691
2.883333	25.74983	10.57691
2.9	25.78875	10.57684
2.9125	25.81648	10.57677
2.925	25.84865	10.57674
2.9375	25.87615	10.5767
2.95	25.90204	10.57664
2.966667	25.94188	10.57657
2.979167	25.97106	10.57657
2.991667	25.99892	10.5766
3.004166	26.03058	10.5766
3.016666	26.0566	10.5766
3.033333	26.09175	10.57656
3.045834	26.12108	10.57654
3.058334	26.1506	10.57653
3.070834	26.17886	10.57647
3.083334	26.20927	10.57647
3.095833	26.23272	10.5765
3.108334	26.26217	10.57653
3.125	26.29956	10.57656
3.1375	26.33003	10.57659
3.15	26.35536	10.57658
3.1625	26.38447	10.57654
3.175	26.41222	10.57649
3.191666	26.44717	10.57644
3.204167	26.47878	10.57645
3.216667	26.5051	10.57646
3.229167	26.5333	10.57649
3.241667	26.55967	10.57655
3.258333	26.60071	10.5766
3.270833	26.6234	10.57664
3.283333	26.6518	10.57668
3.295833	26.67837	10.57667
3.308334	26.70846	10.57656
3.325	26.7445	10.57655
3.3375	26.77725	10.57653
3.35	26.79889	10.57656
3.3625	26.82656	10.57653
3.375	26.85328	10.57657
3.3875	26.88071	10.57663
3.4	26.90744	10.57662
3.416666	26.94746	10.57661
3.429166	26.97315	10.57659
3.441666	27.0014	10.57662
3.454167	27.02362	10.5766
3.466667	27.05426	10.57666
3.483333	27.09564	10.57669
3.495834	27.13726	10.57679
3.508333	27.16652	10.5768
3.520833	27.17542	10.57682
3.533333	27.20451	10.57686
3.55	27.23704	10.57682
3.5625	27.26733	10.57676
3.575	27.29248	10.57668
3.5875	27.32014	10.57666
3.6	27.34776	10.57667
3.6125	27.3731	10.57664
3.625	27.40226	10.57666
3.641667	27.43828	10.57669
3.654167	27.4687	10.57676
3.666666	27.4932	10.57674
3.679166	27.52666	10.57669
3.691666	27.54918	10.57668
3.708334	27.5845	10.57663
3.720833	27.60886	10.57665
3.733333	27.64028	10.57663
3.745834	27.66604	10.57664
3.758333	27.69563	10.57666
3.775	27.72969	10.57668
3.7875	27.755	10.57671
3.8	27.78231	10.57668
3.8125	27.81327	10.57665
3.825	27.84106	10.57664
3.841667	27.87596	10.57669
3.854167	27.90506	10.5767
3.866667	27.93256	10.57674
3.879166	27.95781	10.57682
