Time (min)	Temperature (C)	Weight (mg)
7.78E-04	20.19437	11.00653
0.004166667	20.19165	11.00652
0.0125	20.18853	11.00658
0.02083334	20.18904	11.00669
0.02916666	20.18691	11.00673
0.0375	20.18367	11.00674
0.04583334	20.18062	11.00678
0.05416668	20.18289	11.00683
0.0625	20.18209	11.00684
0.07083332	20.18152	11.00684
0.07916666	20.17974	11.00689
0.0875	20.18369	11.00691
0.09583332	20.19709	11.0069
0.1041666	20.19564	11.00687
0.1125	20.1959	11.00689
0.1208333	20.19476	11.00687
0.1291666	20.19348	11.00683
0.1375	20.19616	11.00681
0.1458333	20.1954	11.00687
0.1541667	20.19723	11.00692
0.1625	20.19337	11.00704
0.1708334	20.19639	11.00723
0.1791666	20.18004	11.00744
0.1875	20.18467	11.00764
0.1958334	20.18382	11.00785
0.2041667	20.18909	11.00822
0.2125	20.19406	11.00859
0.2208333	20.19267	11.00901
0.2291667	20.19641	11.00944
0.2375	20.20275	11.00992
0.2458334	20.20611	11.01035
0.2541666	20.20854	11.01079
0.2625	20.21346	11.01123
0.2708334	20.2153	11.0117
0.2791667	20.22611	11.01216
0.2875	20.22819	11.01256
0.2958333	20.23709	11.01297
0.3041667	20.23956	11.01332
0.3125	20.24727	11.01363
0.3208333	20.25718	11.01385
0.3291667	20.26225	11.01415
0.3375	20.27068	11.01438
0.3458333	20.27526	11.01453
0.3541666	20.28448	11.01468
0.3625	20.29624	11.01486
0.3708334	20.30058	11.015
0.3791666	20.31321	11.01512
0.3875	20.32223	11.01524
0.3958334	20.33255	11.01538
0.4041666	20.34025	11.01554
0.4125	20.34999	11.01559
0.4208333	20.3636	11.01569
0.4291667	20.37505	11.0158
0.4375	20.38541	11.01588
0.4458333	20.40205	11.01591
0.4541667	20.4121	11.01595
0.4625	20.42742	11.01599
0.4708334	20.44052	11.016
0.4791666	20.45285	11.01599
0.4875	20.46778	11.016
0.4958334	20.48171	11.01598
0.5041666	20.49746	11.01595
0.5125	20.51494	11.01594
0.5208332	20.52863	11.01594
0.5291666	20.54362	11.01593
0.5375	20.5663	11.0159
0.5458334	20.57971	11.01584
0.5541668	20.59824	11.01582
0.5625	20.61811	11.01575
0.5708332	20.63449	11.01566
0.5791666	20.65349	11.0156
0.5875	20.66994	11.01551
0.5958334	20.69117	11.0154
0.6041668	20.72496	11.01529
0.6125	20.74026	11.01517
0.6208334	20.75175	11.0151
0.6291666	20.77625	11.01504
0.6375	20.79576	11.01494
0.6458332	20.81842	11.01485
0.6541666	20.84175	11.01483
0.6625	20.86433	11.01476
0.6708334	20.88638	11.01471
0.6791668	20.91347	11.0147
0.6875	20.9335	11.01466
0.6958332	20.95837	11.01462
0.7041666	20.98153	11.01455
0.7125	21.00792	11.0145
0.7208334	21.03015	11.0144
0.7291668	21.06006	11.01437
0.7375	21.08619	11.0143
0.7458334	21.1123	11.01422
0.7541666	21.13835	11.01416
0.7625	21.16661	11.01408
0.7708332	21.18961	11.01404
0.7791666	21.22137	11.01399
0.7875	21.25154	11.01391
0.7958334	21.27942	11.01384
0.8041668	21.30722	11.01382
0.8125	21.34232	11.01377
0.8208332	21.37136	11.01373
0.8291666	21.39854	11.01371
0.8375	21.42722	11.01366
0.8458334	21.4613	11.01362
0.8541668	21.4907	11.01355
