Time (min)	Temperature (C)	Weight (mg)
8.89E-04	27.3752	10.63958
0.004166667	27.3797	10.63961
0.0125	27.38604	10.63966
0.02083334	27.39689	10.63969
0.02916666	27.404	10.63967
0.0375	27.41003	10.6397
0.04583334	27.41255	10.63967
0.05416668	27.4157	10.63967
0.0625	27.42333	10.63964
0.07083332	27.42843	10.63963
0.07916666	27.43792	10.63961
0.0875	27.44258	10.63961
0.09583332	27.45086	10.63964
0.1041666	27.45644	10.63966
0.1125	27.46028	10.63967
0.1208333	27.46826	10.6397
0.1291666	27.47423	10.63979
0.1375	27.47756	10.63984
0.1458333	27.48817	10.63992
0.1541667	27.49844	10.64
0.1625	27.50168	10.64006
0.1708334	27.5126	10.64007
0.1791666	27.52132	10.6401
0.1875	27.52785	10.64013
0.1958334	27.54144	10.64014
0.2041667	27.5526	10.64013
0.2125	27.5625	10.64013
0.2208333	27.57303	10.64016
0.2291667	27.58222	10.6402
0.2375	27.59457	10.64021
0.2458334	27.60922	10.6403
0.2541666	27.61857	10.64042
0.2625	27.63533	10.64044
0.2708334	27.64865	10.64049
0.2791667	27.6595	10.64059
0.2875	27.67777	10.6407
0.2958333	27.69106	10.6408
0.3041667	27.70686	10.64086
0.3125	27.72322	10.64091
0.3208333	27.73692	10.64099
0.3291667	27.75228	10.64102
0.3375	27.7737	10.64105
0.3458333	27.79112	10.64114
0.3541666	27.81538	10.64125
0.3625	27.8336	10.6413
0.3708334	27.84989	10.64133
0.3791666	27.87146	10.64135
0.3875	27.89132	10.6414
0.3958334	27.91704	10.64144
0.4041666	27.94047	10.64147
0.4125	27.95832	10.64148
0.4208333	27.98715	10.64149
0.4291667	28.01261	10.64149
0.4375	28.03925	10.64144
0.4458333	28.06295	10.64148
0.4541667	28.08955	10.64148
0.4625	28.12053	10.64154
0.4708334	28.14787	10.64155
0.4791666	28.17805	10.64156
0.4875	28.20345	10.64155
0.4958334	28.23302	10.64158
0.5041666	28.26995	10.64158
0.5125	28.30135	10.64162
0.5208332	28.32971	10.64166
0.5291666	28.36581	10.64166
0.5375	28.40176	10.64168
0.5458334	28.43184	10.64168
0.5541668	28.46784	10.64167
0.5625	28.50332	10.6417
0.5708332	28.53875	10.64171
0.5791666	28.57686	10.6417
0.5875	28.61714	10.64174
0.5958334	28.655	10.64175
0.6041668	28.69369	10.64174
0.6125	28.73421	10.64172
0.6208334	28.77643	10.64168
0.6291666	28.81815	10.64165
0.6375	28.86003	10.64163
0.6458332	28.90459	10.64154
0.6541666	28.9465	10.64153
0.6625	28.98957	10.6415
0.6708334	29.03702	10.64145
0.6791668	29.08144	10.64138
0.6875	29.13063	10.64132
0.6958332	29.17656	10.64129
0.7041666	29.22664	10.64127
0.7125	29.2737	10.64124
0.7208334	29.32556	10.64122
0.7291668	29.37585	10.64123
0.7375	29.4251	10.64123
0.7458334	29.48003	10.64128
0.7541666	29.52997	10.64127
0.7625	29.57904	10.6413
0.7708332	29.63975	10.64132
0.7791666	29.68894	10.64133
0.7875	29.74767	10.64132
0.7958334	29.80462	10.64135
0.8041668	29.87678	10.64134
0.8125	29.93589	10.64136
0.8208332	29.98965	10.64134
0.8291666	30.04842	10.64126
0.8375	30.10918	10.64124
0.8458334	30.16868	10.64119
0.8541668	30.23218	10.64117
0.8625	30.28901	10.64117
0.8708332	30.35505	10.64116
0.8791668	30.41117	10.64112
0.8875	30.4778	10.64108
0.8958332	30.53858	10.64106
0.9041666	30.58949	10.64104
0.9125	30.65663	10.64104
0.9208334	30.71975	10.64106
0.9291668	30.7862	10.6411
0.9375	30.85476	10.64112
0.9458332	30.92498	10.6411
0.9541666	30.99354	10.64113
0.9625	31.06344	10.64114
0.9708334	31.1346	10.64115
0.9791668	31.20022	10.64114
0.9875	31.27308	10.64114
0.9958332	31.34607	10.64111
1.004167	31.41766	10.64109
1.0125	31.48982	10.64103
1.020833	31.56395	10.64097
1.029167	31.63512	10.64093
1.0375	31.70924	10.64085
1.045834	31.78608	10.64076
1.054167	31.85541	10.64071
1.0625	31.93588	10.6407
1.070833	32.01422	10.64066
1.079166	32.08691	10.64061
1.0875	32.16843	10.64055
1.095833	32.24374	10.64054
1.104166	32.32068	10.64055
1.1125	32.40115	10.64053
1.120833	32.48074	10.64051
1.129167	32.55881	10.64053
1.1375	32.6406	10.64054
1.145834	32.71871	10.64053
1.154167	32.80322	10.64054
1.1625	32.88013	10.64056
1.170834	32.96672	10.6406
1.179167	33.04454	10.64063
1.1875	33.13084	10.6406
1.195833	33.21476	10.64061
1.204166	33.2993	10.64066
1.2125	33.39482	10.6406
1.220833	33.46726	10.64058
1.229166	33.55198	10.64056
1.2375	33.63494	10.64056
1.245833	33.71814	10.64051
1.254167	33.81059	10.64046
1.2625	33.89611	10.64042
1.270834	33.9816	10.64045
1.279167	34.06582	10.64043
1.2875	34.15656	10.64034
1.295834	34.24378	10.64041
1.304167	34.33632	10.64045
1.3125	34.41925	10.64045
1.320833	34.50888	10.64044
1.329166	34.59589	10.6405
1.3375	34.68411	10.64054
1.345833	34.77902	10.64056
1.354166	34.8676	10.64054
1.3625	34.9571	10.64053
1.370833	35.0529	10.64061
1.379167	35.1473	10.64062
1.3875	35.2305	10.6406
1.395834	35.32474	10.64061
1.404167	35.4146	10.64061
1.4125	35.50538	10.6406
1.420834	35.59894	10.64057
1.429167	35.69231	10.64056
1.4375	35.78301	10.64057
1.445833	35.87513	10.64058
1.454166	35.96956	10.64058
1.4625	36.0604	10.64057
1.470833	36.15506	10.64057
1.479166	36.24947	10.64059
1.4875	36.3423	10.6406
1.495833	36.43314	10.64058
1.504167	36.52783	10.64057
1.5125	36.62452	10.64054
1.520834	36.72097	10.64048
1.529167	36.81556	10.64044
1.5375	36.90872	10.64038
1.545834	37.00802	10.64038
1.554167	37.09746	10.64036
1.5625	37.19791	10.64031
1.570833	37.291	10.64031
1.579166	37.38632	10.64033
1.5875	37.48258	10.64038
1.595833	37.57696	10.6404
1.604166	37.67626	10.64041
1.6125	37.77317	10.64044
1.620833	37.86453	10.6405
1.629167	37.96037	10.64049
1.6375	38.05711	10.64052
1.645834	38.15494	10.64059
1.654167	38.2505	10.6406
1.6625	38.34376	10.64062
1.670834	38.44049	10.64064
1.679166	38.54015	10.64064
1.6875	38.63394	10.64068
1.695834	38.73018	10.64066
1.704166	38.82559	10.64058
1.7125	38.92441	10.64055
1.720833	39.0225	10.64051
1.729166	39.11642	10.64042
1.7375	39.21213	10.64042
1.745833	39.31025	10.64039
1.754167	39.40862	10.64035
1.7625	39.50109	10.64037
1.770834	39.60242	10.64034
1.779167	39.69796	10.64044
1.7875	39.79555	10.64051
1.795834	39.89131	10.64055
1.804166	39.98818	10.64058
1.8125	40.08152	10.64064
1.820834	40.18184	10.64067
1.829166	40.27588	10.64068
1.8375	40.37622	10.6407
1.845833	40.47102	10.6407
1.854166	40.56643	10.64077
1.8625	40.66426	10.64072
1.870833	40.76144	10.64073
1.879167	40.85602	10.6407
1.8875	40.95086	10.64069
1.895834	41.05666	10.6407
1.904167	41.14306	10.64071
1.9125	41.24316	10.64073
1.920834	41.34341	10.64074
1.929166	41.4378	10.64078
1.9375	41.52874	10.6408
1.945834	41.63122	10.64083
1.954166	41.7209	10.64084
1.9625	41.82312	10.64087
1.970833	41.92006	10.64091
1.979166	42.01478	10.64094
1.9875	42.10717	10.64095
1.995833	42.20446	10.64096
2.004166	42.29928	10.64094
2.0125	42.39081	10.6409
2.020833	42.49153	10.64087
2.029167	42.58782	10.64084
2.0375	42.68336	10.64086
2.045834	42.77424	10.6409
2.054166	42.87416	10.64094
2.0625	42.96426	10.64096
2.070834	43.06435	10.64098
2.079166	43.16203	10.641
2.0875	43.25105	10.64104
2.095833	43.3399	10.64106
2.104167	43.43428	10.64112
2.1125	43.52937	10.64114
2.120834	43.62056	10.64115
2.129166	43.7152	10.64114
2.1375	43.8093	10.64111
2.145833	43.91079	10.64106
2.154167	44.0087	10.64103
2.1625	44.09016	10.64106
2.170834	44.18522	10.64109
2.179166	44.2788	10.64108
2.1875	44.37482	10.64106
2.195834	44.46244	10.64108
2.204166	44.55653	10.64107
2.2125	44.64884	10.64109
2.220833	44.74252	10.64114
2.229167	44.83574	10.64118
2.2375	44.92526	10.64122
2.245834	45.01759	10.6412
2.254166	45.1066	10.64122
2.2625	45.20359	10.6413
2.270833	45.29429	10.64133
2.279167	45.3845	10.64138
2.2875	45.47866	10.64142
2.295834	45.56915	10.64144
2.304166	45.6585	10.64144
2.3125	45.7521	10.64146
2.320834	45.84488	10.64146
2.329166	45.93149	10.64148
2.3375	46.02696	10.64148
2.345833	46.11516	10.64144
2.354167	46.2034	10.64142
2.3625	46.293	10.64142
2.370834	46.37934	10.64142
2.379166	46.47703	10.64142
2.3875	46.56153	10.6414
2.395833	46.6499	10.64143
2.404167	46.7409	10.64146
2.4125	46.8294	10.64144
2.420834	46.9223	10.64143
2.429166	47.01342	10.64142
2.4375	47.10172	10.6414
2.445834	47.18634	10.64137
2.454166	47.27848	10.64134
2.4625	47.3759	10.64134
2.470833	47.45998	10.64138
2.479167	47.544	10.64136
2.4875	47.6359	10.64136
2.495834	47.7179	10.64139
2.504166	47.81176	10.64142
2.5125	47.897	10.64149
2.520833	47.9831	10.64156
2.529167	48.07034	10.6416
2.5375	48.1575	10.64166
2.545834	48.2435	10.64171
2.554166	48.33062	10.64172
2.5625	48.41601	10.64172
2.570834	48.50302	10.64173
2.579166	48.5935	10.64175
2.5875	48.67665	10.64174
2.595833	48.7655	10.64175
2.604167	48.8498	10.64174
2.6125	48.93839	10.64175
2.620834	49.02101	10.64172
2.629166	49.10984	10.64172
2.6375	49.197	10.64172
2.645833	49.27885	10.64175
2.654167	49.3725	10.6418
2.6625	49.46443	10.64182
2.670834	49.55428	10.64186
2.679166	49.63726	10.64187
2.6875	49.72334	10.64185
2.695834	49.80701	10.64181
2.704166	49.88746	10.64181
2.7125	49.96022	10.64179
2.720833	50.04754	10.6418
2.729167	50.1283	10.64184
2.7375	50.21378	10.64184
2.745834	50.29793	10.64183
2.754166	50.38158	10.64186
2.7625	50.46653	10.64194
2.770833	50.55381	10.64196
2.779167	50.63386	10.64203
2.7875	50.71984	10.64209
2.795834	50.81016	10.64213
2.804166	50.88854	10.64218
2.8125	50.97162	10.64218
2.820834	51.05232	10.64217
2.829166	51.13294	10.64214
2.8375	51.21992	10.64208
2.845833	51.30424	10.64201
2.854167	51.38512	10.64203
2.8625	51.46567	10.64199
2.870834	51.55156	10.64199
2.879166	51.62966	10.64201
2.8875	51.71793	10.64199
2.895833	51.79553	10.64198
2.904167	51.88111	10.64198
2.9125	51.96144	10.64206
2.920834	52.04889	10.64213
2.929166	52.12892	10.64214
2.9375	52.20922	10.64216
2.945834	52.29453	10.64214
2.954166	52.37376	10.64213
2.9625	52.45474	10.64209
2.970833	52.5345	10.64204
2.979167	52.61778	10.64202
2.9875	52.70019	10.64201
2.995834	52.7857	10.64198
3.004166	52.86919	10.64197
3.0125	52.94812	10.64197
3.020833	53.02512	10.64198
3.029167	53.10486	10.64207
3.0375	53.18852	10.64212
3.045834	53.27221	10.64218
3.054166	53.34994	10.64226
3.0625	53.43407	10.64231
3.070834	53.5162	10.64236
3.079166	53.59749	10.6424
3.0875	53.67572	10.64239
3.095833	53.75476	10.64239
3.104167	53.83722	10.64239
3.1125	53.91994	10.64239
3.120834	53.99718	10.64235
3.129166	54.07877	10.64232
3.1375	54.1582	10.64228
3.145833	54.24144	10.64227
3.154167	54.32016	10.64228
3.1625	54.40139	10.64228
3.170834	54.48555	10.64231
3.179166	54.56226	10.64234
3.1875	54.64538	10.64234
3.195834	54.72336	10.6423
3.204167	54.80424	10.64226
3.2125	54.88402	10.64228
3.220833	54.96406	10.64232
3.229167	55.04324	10.64236
3.2375	55.12244	10.64236
3.245834	55.20146	10.64236
3.254166	55.28132	10.64232
3.2625	55.3663	10.6423
3.270833	55.44259	10.64231
3.279167	55.52246	10.64233
3.2875	55.60105	10.64234
3.295833	55.6815	10.6423
3.304166	55.76062	10.64225
3.3125	55.84482	10.6422
3.320834	55.92514	10.64215
3.329167	56.00506	10.64213
3.3375	56.08313	10.64214
3.345833	56.16262	10.64218
3.354167	56.24032	10.64221
3.3625	56.31985	10.64226
3.370834	56.40128	10.6423
3.379166	56.48373	10.64235
3.3875	56.55783	10.64235
3.395833	56.63791	10.64239
3.404167	56.7179	10.64247
3.4125	56.81113	10.64244
3.420833	56.88711	10.64244
3.429166	56.97148	10.64243
3.4375	57.05146	10.64239
3.445834	57.12886	10.64237
3.454167	57.20738	10.6424
3.4625	57.28384	10.64243
3.470833	57.35182	10.64247
3.479167	57.4315	10.6425
3.4875	57.51078	10.64249
3.495834	57.58902	10.64256
3.504166	57.67452	10.64258
3.5125	57.75581	10.6426
3.520833	57.83124	10.64262
3.529167	57.90574	10.64266
3.5375	57.9882	10.64266
3.545833	58.06702	10.64268
3.554166	58.14481	10.64274
3.5625	58.2276	10.64274
3.570834	58.31006	10.64272
3.579167	58.3863	10.64273
3.5875	58.46871	10.64271
3.595833	58.54277	10.6427
3.604167	58.6249	10.64269
3.6125	58.70636	10.64272
3.620834	58.77951	10.64269
3.629166	58.86118	10.64268
3.6375	58.93887	10.64267
3.645833	59.01822	10.64267
3.654167	59.09868	10.64268
3.6625	59.17821	10.64269
3.670833	59.2563	10.64272
3.679166	59.33829	10.64278
3.6875	59.41685	10.64279
3.695834	59.49536	10.64277
3.704167	59.5788	10.6428
3.7125	59.65698	10.64281
3.720833	59.73271	10.64277
3.729167	59.81555	10.64274
3.7375	59.89399	10.64276
3.745834	59.97503	10.64277
